# 2D bond percolation simulation results
# L=1024, MC_STEPS=100, P_POINTS=101
# p_values, square_mean, square_std, triangular_mean, triangular_std, hexagonal_mean, hexagonal_std
0.890000 0.999847 0.000001 0.999998 0.000000 0.998103 0.000004
0.900000 0.999897 0.000001 0.999999 0.000000 0.998623 0.000003
0.910000 0.999933 0.000001 0.999999 0.000000 0.999035 0.000003
0.920000 0.999958 0.000001 1.000000 0.000000 0.999341 0.000002
0.930000 0.999975 0.000000 1.000000 0.000000 0.999572 0.000002
0.940000 0.999987 0.000000 1.000000 0.000000 0.999740 0.000001
0.950000 0.999994 0.000000 1.000000 0.000000 0.999853 0.000001
0.960000 0.999997 0.000000 1.000000 0.000000 0.999927 0.000001
0.970000 0.999999 0.000000 1.000000 0.000000 0.999971 0.000000
0.980000 1.000000 0.000000 1.000000 0.000000 0.999992 0.000000
0.990000 1.000000 0.000000 1.000000 0.000000 0.999999 0.000000
1.000000 1.000000 0.000000 1.000000 0.000000 1.000000 0.000000
